Period,Scenario,LoadLevel,WindFarm_1,WindFarm_2,SolarPV_1,SolarPV_2,OtherNonRES,OtherRES
2027,WS003,01-13 00:00:00+01:00,1033.373129,1188.379098,1.00E-06,1.00E-06,207.826462,95.976519
2027,WS003,01-13 01:00:00+01:00,1009.359001,1160.762851,1.00E-06,1.00E-06,207.4057606,95.387706
2027,WS003,01-13 02:00:00+01:00,994.2981852,1143.442913,1.00E-06,1.00E-06,203.6194486,89.695847
2027,WS003,01-13 03:00:00+01:00,993.4444244,1142.461088,1.00E-06,1.00E-06,201.5159419,90.677202
2027,WS003,01-13 04:00:00+01:00,1034.206678,1189.33768,1.00E-06,1.00E-06,198.1503311,89.695847
2027,WS003,01-13 05:00:00+01:00,1085.303596,1248.099135,1.00E-06,1.00E-06,196.4675258,89.107034
2027,WS003,01-13 06:00:00+01:00,1108.916716,1275.254223,1.00E-06,1.00E-06,197.3089285,89.107034
2027,WS003,01-13 07:00:00+01:00,1094.264795,1258.404514,0.000001,0.000001,197.7296298,89.695847
2027,WS003,01-13 08:00:00+01:00,1047.279586,1204.371524,6.683423053,11.13903842,197.7296298,90.873473
2027,WS003,01-13 09:00:00+01:00,1014.224053,1166.357661,197.8002621,329.6671035,197.3089285,90.28466
2027,WS003,01-13 10:00:00+01:00,1041.057097,1197.215662,475.0929556,791.8215927,196.4675258,86.555511
2027,WS003,01-13 11:00:00+01:00,1111.562724,1278.297132,631.973415,1053.289025,194.3640191,89.107034
2027,WS003,01-13 12:00:00+01:00,1201.13494,1381.305181,720.0895383,1200.14923,191.839811,90.873473
2027,WS003,01-13 13:00:00+01:00,1272.074874,1462.886105,746.7985381,1244.66423,190.577707,90.480931
2027,WS003,01-13 14:00:00+01:00,1310.483723,1507.056281,717.4877342,1195.81289,189.7363043,90.088389
2027,WS003,01-13 15:00:00+01:00,1302.571586,1497.957323,632.2255819,1053.709303,190.1570057,90.28466
2027,WS003,01-13 16:00:00+01:00,1289.238562,1482.624346,453.5908398,755.9847331,190.9984084,91.266015
2027,WS003,01-13 17:00:00+01:00,1186.447762,1364.414927,147.4112172,245.6853621,193.5226164,92.443641
2027,WS003,01-13 18:00:00+01:00,1132.927907,1302.867093,2.099348522,3.498914204,193.9433177,93.424996
2027,WS003,01-13 19:00:00+01:00,1126.395801,1295.355171,1.00E-06,1.00E-06,194.3640191,94.21008
2027,WS003,01-13 20:00:00+01:00,1128.37761,1297.634252,1.00E-06,1.00E-06,193.9433177,93.817538
2027,WS003,01-13 21:00:00+01:00,1150.940902,1323.582037,1.00E-06,1.00E-06,191.839811,93.032454
2027,WS003,01-13 22:00:00+01:00,1157.403532,1331.014062,1.00E-06,1.00E-06,191.4191097,92.443641
2027,WS003,01-13 23:00:00+01:00,1152.917284,1325.854877,1.00E-06,1.00E-06,190.577707,91.658557
2027,WS003,01-14 00:00:00+01:00,1128.163964,1297.388559,1.00E-06,1.00E-06,184.2671869,89.303305
2027,WS003,01-14 01:00:00+01:00,1116.928988,1284.468336,1.00E-06,1.00E-06,183.8464856,88.125679
2027,WS003,01-14 02:00:00+01:00,1102.655645,1268.053992,1.00E-06,1.00E-06,183.4257842,88.125679
2027,WS003,01-14 03:00:00+01:00,1104.618985,1270.311833,1.00E-06,1.00E-06,181.3222775,87.733137
2027,WS003,01-14 04:00:00+01:00,1139.733403,1310.693414,1.00E-06,1.00E-06,179.2187708,86.948053
2027,WS003,01-14 05:00:00+01:00,1173.097052,1349.06161,1.00E-06,1.00E-06,179.2187708,87.144324
2027,WS003,01-14 06:00:00+01:00,1197.63607,1377.281481,1.00E-06,1.00E-06,178.7980695,86.751782
2027,WS003,01-14 07:00:00+01:00,1185.770334,1363.635884,0.000001,0.000001,179.2187708,88.714492
2027,WS003,01-14 08:00:00+01:00,1134.826351,1305.050303,1.823958929,3.039931549,181.3222775,90.677202
2027,WS003,01-14 09:00:00+01:00,969.7439484,1115.205541,89.93123217,149.885387,181.3222775,90.088389
2027,WS003,01-14 10:00:00+01:00,797.7660907,917.4310043,263.1004274,438.5007124,180.4808749,89.499576
2027,WS003,01-14 11:00:00+01:00,713.3006639,820.2957635,399.1496587,665.2494312,179.6394722,88.714492
2027,WS003,01-14 12:00:00+01:00,679.8738806,781.8549627,503.6862275,839.4770458,177.9566668,90.28466
2027,WS003,01-14 13:00:00+01:00,672.1274106,772.9465222,554.671845,924.4530749,176.6945628,90.28466
2027,WS003,01-14 14:00:00+01:00,663.1516089,762.6243502,544.7422179,907.9036965,176.6945628,90.088389
2027,WS003,01-14 15:00:00+01:00,661.9272779,761.2163696,462.5477289,770.9128815,176.6945628,90.088389
2027,WS003,01-14 16:00:00+01:00,697.9435389,802.6350698,318.7862006,531.3103344,177.9566668,91.658557
2027,WS003,01-14 17:00:00+01:00,744.6933793,856.3973862,106.2705858,177.1176429,180.9015762,91.658557
2027,WS003,01-14 18:00:00+01:00,803.0135443,923.465576,1.596001751,2.660002918,181.7429789,95.387706
2027,WS003,01-14 19:00:00+01:00,861.6019312,990.8422209,1.00E-06,1.00E-06,183.0050829,96.17279
2027,WS003,01-14 20:00:00+01:00,909.1282962,1045.497541,1.00E-06,1.00E-06,184.6878883,94.798893
2027,WS003,01-14 21:00:00+01:00,928.3973594,1067.656963,1.00E-06,1.00E-06,183.4257842,93.424996
2027,WS003,01-14 22:00:00+01:00,888.1782958,1021.40504,1.00E-06,1.00E-06,183.0050829,93.228725
2027,WS003,01-14 23:00:00+01:00,822.3672849,945.7223777,1.00E-06,1.00E-06,180.0601735,88.32195
2027,WS003,01-15 00:00:00+01:00,758.40443,872.1650945,1.00E-06,1.00E-06,176.6945628,81.059923
2027,WS003,01-15 01:00:00+01:00,729.0356737,838.3910248,1.00E-06,1.00E-06,176.2738615,80.274839
2027,WS003,01-15 02:00:00+01:00,723.6095242,832.1509529,1.00E-06,1.00E-06,175.4324588,80.274839
2027,WS003,01-15 03:00:00+01:00,713.8731955,820.9541748,1.00E-06,1.00E-06,174.5910561,80.078568
2027,WS003,01-15 04:00:00+01:00,677.0368498,778.5923773,1.00E-06,1.00E-06,174.5910561,80.274839
2027,WS003,01-15 05:00:00+01:00,633.8599738,728.9389699,1.00E-06,1.00E-06,176.6945628,80.078568
2027,WS003,01-15 06:00:00+01:00,619.2048067,712.0855278,1.00E-06,1.00E-06,181.7429789,79.882297
2027,WS003,01-15 07:00:00+01:00,646.8245633,743.8482478,0.000001,0.000001,186.791395,81.059923
2027,WS003,01-15 08:00:00+01:00,687.1745012,790.2506764,4.617544977,7.695908294,191.4191097,83.415175
2027,WS003,01-15 09:00:00+01:00,663.7460535,763.3079616,129.9818002,216.6363337,189.7363043,83.218904
2027,WS003,01-15 10:00:00+01:00,557.4328437,641.0477703,334.1124986,556.8541643,188.8949017,80.47111
2027,WS003,01-15 11:00:00+01:00,458.813625,527.6356687,487.5144588,812.5240981,188.8949017,80.078568
2027,WS003,01-15 12:00:00+01:00,415.856573,478.2350589,589.0322991,981.7204984,185.9499923,79.489755
2027,WS003,01-15 13:00:00+01:00,414.7724351,476.9883004,630.422703,1050.704505,185.5292909,78.704671
2027,WS003,01-15 14:00:00+01:00,438.0081433,503.7093648,608.1821609,1013.636935,186.3706936,78.704671
2027,WS003,01-15 15:00:00+01:00,475.5467935,546.8788125,510.1176021,850.1960035,186.3706936,77.134503
2027,WS003,01-15 16:00:00+01:00,526.7023349,605.7076851,342.2480233,570.4133722,186.791395,75.564335
2027,WS003,01-15 17:00:00+01:00,577.5781519,664.2148747,110.8256482,184.7094136,188.053499,76.349419
2027,WS003,01-15 18:00:00+01:00,624.7076118,718.4137536,1.939240729,3.232067881,188.4742003,76.741961
2027,WS003,01-15 19:00:00+01:00,644.7078894,741.4140728,1.00E-06,1.00E-06,188.4742003,77.723316
2027,WS003,01-15 20:00:00+01:00,645.2269204,742.0109585,1.00E-06,1.00E-06,184.6878883,76.938232
2027,WS003,01-15 21:00:00+01:00,645.1716057,741.9473465,1.00E-06,1.00E-06,183.4257842,76.153148
2027,WS003,01-15 22:00:00+01:00,645.7713065,742.6370025,1.00E-06,1.00E-06,182.1636802,74.190438
2027,WS003,01-15 23:00:00+01:00,644.0628154,740.6722377,1.00E-06,1.00E-06,181.3222775,73.012812
2027,WS003,01-16 00:00:00+01:00,639.0858469,734.9487239,1.00E-06,1.00E-06,177.9566668,64.180617
2027,WS003,01-16 01:00:00+01:00,631.4373176,726.1529152,1.00E-06,1.00E-06,177.5359655,62.414178
2027,WS003,01-16 02:00:00+01:00,626.2034521,720.13397,1.00E-06,1.00E-06,177.9566668,62.217907
2027,WS003,01-16 03:00:00+01:00,631.9144075,726.7015686,1.00E-06,1.00E-06,177.1152641,61.825365
2027,WS003,01-16 04:00:00+01:00,668.3411335,768.5923035,1.00E-06,1.00E-06,175.4324588,62.021636
2027,WS003,01-16 05:00:00+01:00,751.0101496,863.6616721,1.00E-06,1.00E-06,177.9566668,62.021636
2027,WS003,01-16 06:00:00+01:00,844.5435963,971.2251357,1.00E-06,1.00E-06,179.2187708,62.217907
2027,WS003,01-16 07:00:00+01:00,899.5760928,1034.512507,0.000001,0.000001,180.4808749,63.199262
2027,WS003,01-16 08:00:00+01:00,897.9094522,1032.59587,0.982185631,1.636976052,181.7429789,64.376888
2027,WS003,01-16 09:00:00+01:00,838.749245,964.5616318,59.06374776,98.4395796,180.4808749,63.984346
2027,WS003,01-16 10:00:00+01:00,732.9466726,842.8886734,171.9795705,286.6326176,180.0601735,62.80672
2027,WS003,01-16 11:00:00+01:00,576.8276797,663.3518316,267.3587073,445.5978455,179.2187708,61.825365
2027,WS003,01-16 12:00:00+01:00,480.9280894,553.0673028,335.2671894,558.778649,178.7980695,62.217907
2027,WS003,01-16 13:00:00+01:00,452.5021152,520.3774325,361.868649,603.114415,179.2187708,62.80672
2027,WS003,01-16 14:00:00+01:00,454.4215154,522.5847428,346.0474826,576.7458044,180.4808749,62.217907
2027,WS003,01-16 15:00:00+01:00,481.9247447,554.2134564,276.707488,461.1791466,180.0601735,63.199262
2027,WS003,01-16 16:00:00+01:00,547.7260545,629.8849627,177.6157387,296.0262312,180.4808749,63.002991
2027,WS003,01-16 17:00:00+01:00,616.2253986,708.6592083,60.23600115,100.3933353,180.9015762,64.573159
2027,WS003,01-16 18:00:00+01:00,666.5169417,766.494483,2.158210086,3.597016811,180.9015762,63.199262
2027,WS003,01-16 19:00:00+01:00,685.2166593,787.9991582,1.00E-06,1.00E-06,182.5843816,64.180617
2027,WS003,01-16 20:00:00+01:00,664.7362281,764.4466623,1.00E-06,1.00E-06,181.7429789,63.199262
2027,WS003,01-16 21:00:00+01:00,631.6739447,726.4250364,1.00E-06,1.00E-06,180.4808749,62.80672
2027,WS003,01-16 22:00:00+01:00,598.5891023,688.3774677,1.00E-06,1.00E-06,178.3773682,61.825365
2027,WS003,01-16 23:00:00+01:00,584.0931552,671.7071284,1.00E-06,1.00E-06,168.280536,60.255197
2027,WS003,01-17 00:00:00+01:00,567.3787676,652.4855828,1.00E-06,1.00E-06,145.1419623,59.470113
2027,WS003,01-17 01:00:00+01:00,539.6399544,620.5859476,1.00E-06,1.00E-06,144.721261,59.077571
2027,WS003,01-17 02:00:00+01:00,509.3079971,585.7041967,1.00E-06,1.00E-06,141.3556502,59.077571
2027,WS003,01-17 03:00:00+01:00,489.6247312,563.0684409,1.00E-06,1.00E-06,141.3556502,59.666384
2027,WS003,01-17 04:00:00+01:00,487.6449911,560.7917397,1.00E-06,1.00E-06,140.9349489,59.077571
2027,WS003,01-17 05:00:00+01:00,494.7542826,568.967425,1.00E-06,1.00E-06,142.1970529,57.703674
2027,WS003,01-17 06:00:00+01:00,510.4911749,587.0648511,1.00E-06,1.00E-06,143.0384556,57.311132
2027,WS003,01-17 07:00:00+01:00,536.3686415,616.8239377,0.000001,0.000001,145.1419623,59.077571
2027,WS003,01-17 08:00:00+01:00,572.3696931,658.225147,0.640058301,1.066763835,148.507573,62.610449
2027,WS003,01-17 09:00:00+01:00,563.7086479,648.2649451,53.19663623,88.66106038,148.0868717,62.610449
2027,WS003,01-17 10:00:00+01:00,534.8910179,615.1246706,160.8393463,268.0655772,147.245469,62.021636
2027,WS003,01-17 11:00:00+01:00,479.93996,551.930954,259.3989707,432.3316179,145.983365,60.255197
2027,WS003,01-17 12:00:00+01:00,426.3624706,490.3168412,330.498455,550.8307583,144.721261,59.862655
2027,WS003,01-17 13:00:00+01:00,409.0503957,470.407955,361.8519421,603.0865702,143.4591569,59.666384
2027,WS003,01-17 14:00:00+01:00,421.390296,484.5988405,349.2885514,582.1475857,143.4591569,59.470113
2027,WS003,01-17 15:00:00+01:00,453.9753713,522.071677,287.6666499,479.4444166,144.721261,61.040281
2027,WS003,01-17 16:00:00+01:00,532.1777698,612.0044353,196.9074065,328.1790108,145.5626636,64.573159
2027,WS003,01-17 17:00:00+01:00,596.1051443,685.5209159,78.94405979,131.573433,149.769677,69.676205
2027,WS003,01-17 18:00:00+01:00,662.3637771,761.7183437,2.993912324,4.989853873,156.0801971,71.050102
2027,WS003,01-17 19:00:00+01:00,702.1059024,807.4217878,1.00E-06,1.00E-06,158.6044052,71.246373
2027,WS003,01-17 20:00:00+01:00,703.8934954,809.4775198,1.00E-06,1.00E-06,159.4458079,71.638915
2027,WS003,01-17 21:00:00+01:00,693.6136309,797.6556756,1.00E-06,1.00E-06,158.6044052,71.638915
2027,WS003,01-17 22:00:00+01:00,683.5716424,786.1073888,1.00E-06,1.00E-06,151.8731837,70.853831
2027,WS003,01-17 23:00:00+01:00,673.5622789,774.5966207,1.00E-06,1.00E-06,146.4040663,69.087392
2027,WS003,01-18 00:00:00+01:00,659.9661085,758.9610248,1.00E-06,1.00E-06,142.6177543,68.69485
2027,WS003,01-18 01:00:00+01:00,645.4045876,742.2152757,1.00E-06,1.00E-06,140.0935462,67.713495
2027,WS003,01-18 02:00:00+01:00,634.7050956,729.91086,1.00E-06,1.00E-06,139.6728449,67.713495
2027,WS003,01-18 03:00:00+01:00,623.9261256,717.5150444,1.00E-06,1.00E-06,138.4107409,68.302308
2027,WS003,01-18 04:00:00+01:00,620.3297699,713.3792354,1.00E-06,1.00E-06,140.5142476,69.872476
2027,WS003,01-18 05:00:00+01:00,613.7390911,705.7999548,1.00E-06,1.00E-06,140.9349489,69.479934
2027,WS003,01-18 06:00:00+01:00,599.5772054,689.5137862,1.00E-06,1.00E-06,141.3556502,68.498579
2027,WS003,01-18 07:00:00+01:00,580.0008258,667.0009497,0.000001,0.000001,154.8180931,69.283663
2027,WS003,01-18 08:00:00+01:00,571.7714933,657.5372172,1.450776901,2.417961502,162.8114186,70.461289
2027,WS003,01-18 09:00:00+01:00,553.8095023,636.8809276,91.50822603,152.51371,164.9149253,70.265018
2027,WS003,01-18 10:00:00+01:00,529.9352169,609.4254995,265.0449487,441.7415811,162.3907172,69.479934
2027,WS003,01-18 11:00:00+01:00,523.0321333,601.4869533,394.3631961,657.2719935,161.9700159,68.498579
2027,WS003,01-18 12:00:00+01:00,551.9716072,634.7673482,468.4342865,780.7238109,162.3907172,68.106037
2027,WS003,01-18 13:00:00+01:00,577.3347789,663.9349957,489.6481973,816.0803288,164.0735226,69.087392
2027,WS003,01-18 14:00:00+01:00,601.0203985,691.1734583,460.5732514,767.6220857,164.4942239,67.517224
2027,WS003,01-18 15:00:00+01:00,621.9247971,715.2135166,382.3145625,637.1909375,166.5977306,66.928411
2027,WS003,01-18 16:00:00+01:00,651.8319977,749.6067974,258.9421544,431.5702573,174.1703548,67.320953
2027,WS003,01-18 17:00:00+01:00,670.3472597,770.8993487,93.55809652,155.9301609,182.1636802,68.106037
2027,WS003,01-18 18:00:00+01:00,687.0863429,790.1492944,3.521203938,5.868673231,184.2671869,69.283663
2027,WS003,01-18 19:00:00+01:00,699.1185356,803.9863159,1.00E-06,1.00E-06,185.9499923,69.872476
2027,WS003,01-18 20:00:00+01:00,694.2838016,798.4263718,1.00E-06,1.00E-06,189.315603,69.872476
2027,WS003,01-18 21:00:00+01:00,686.6063998,789.5973598,1.00E-06,1.00E-06,188.4742003,70.068747
2027,WS003,01-18 22:00:00+01:00,668.6518868,768.9496699,1.00E-06,1.00E-06,187.6327976,70.068747
2027,WS003,01-18 23:00:00+01:00,655.6193568,753.9622603,1.00E-06,1.00E-06,186.3706936,69.283663
2027,WS003,01-19 00:00:00+01:00,656.5949278,755.0841669,1.00E-06,1.00E-06,186.3706936,72.62027
2027,WS003,01-19 01:00:00+01:00,668.0853688,768.2981741,1.00E-06,1.00E-06,185.9499923,72.031457
2027,WS003,01-19 02:00:00+01:00,684.9435241,787.6850528,1.00E-06,1.00E-06,185.1085896,69.479934
2027,WS003,01-19 03:00:00+01:00,699.1040385,803.9696443,1.00E-06,1.00E-06,184.6878883,69.087392
2027,WS003,01-19 04:00:00+01:00,702.7964481,808.2159154,1.00E-06,1.00E-06,180.9015762,69.283663
2027,WS003,01-19 05:00:00+01:00,703.5447388,809.0764496,1.00E-06,1.00E-06,180.9015762,71.638915
2027,WS003,01-19 06:00:00+01:00,697.3410439,801.9422004,1.00E-06,1.00E-06,184.6878883,74.975522
2027,WS003,01-19 07:00:00+01:00,685.8042169,788.6748494,0.000001,0.000001,194.7847204,81.845007
2027,WS003,01-19 08:00:00+01:00,680.6057642,782.6966288,3.83197891,6.386631517,203.1987472,85.966698
2027,WS003,01-19 09:00:00+01:00,673.1584728,774.1322437,130.1539908,216.923318,204.4608512,86.162969
2027,WS003,01-19 10:00:00+01:00,668.6867459,768.9897578,338.7957034,564.6595056,204.8815526,86.162969
2027,WS003,01-19 11:00:00+01:00,673.808128,774.8793472,483.5913044,805.9855074,203.6194486,86.162969
2027,WS003,01-19 12:00:00+01:00,691.2279883,794.9121866,561.1074761,935.1791269,204.4608512,86.751782
2027,WS003,01-19 13:00:00+01:00,694.4219695,798.5852649,576.1362013,960.2270021,203.1987472,87.733137
2027,WS003,01-19 14:00:00+01:00,683.9338127,786.5238846,534.0046978,890.0078296,202.7780459,88.714492
2027,WS003,01-19 15:00:00+01:00,692.7707878,796.686406,433.3602036,722.267006,202.3573445,88.910763
2027,WS003,01-19 16:00:00+01:00,739.7406497,850.7017471,282.7531884,471.255314,203.6194486,89.892118
2027,WS003,01-19 17:00:00+01:00,754.0747163,867.1859238,96.88255748,161.4709291,209.5092673,91.462286
2027,WS003,01-19 18:00:00+01:00,767.2736044,882.364645,3.888330583,6.480550972,216.2404888,92.051099
2027,WS003,01-19 19:00:00+01:00,767.0750642,882.1363239,1.00E-06,1.00E-06,217.9232941,94.602622
2027,WS003,01-19 20:00:00+01:00,751.5454782,864.2772999,1.00E-06,1.00E-06,219.6060995,90.677202
2027,WS003,01-19 21:00:00+01:00,737.6954182,848.3497309,1.00E-06,1.00E-06,218.3439955,86.555511
2027,WS003,01-19 22:00:00+01:00,725.6509535,834.4985966,1.00E-06,1.00E-06,212.4541767,83.807717
2027,WS003,01-19 23:00:00+01:00,719.9314021,827.9211124,1.00E-06,1.00E-06,204.4608512,92.24737
2027,WS021,01-13 00:00:00+01:00,1322.554074,1520.937185,1.00E-06,1.00E-06,207.826462,95.976519
2027,WS021,01-13 01:00:00+01:00,1356.457304,1559.9259,1.00E-06,1.00E-06,207.4057606,95.387706
2027,WS021,01-13 02:00:00+01:00,1391.604117,1600.344734,1.00E-06,1.00E-06,203.6194486,89.695847
2027,WS021,01-13 03:00:00+01:00,1415.087234,1627.350319,1.00E-06,1.00E-06,201.5159419,90.677202
2027,WS021,01-13 04:00:00+01:00,1437.392341,1653.001192,1.00E-06,1.00E-06,198.1503311,89.695847
2027,WS021,01-13 05:00:00+01:00,1455.890699,1674.274304,1.00E-06,1.00E-06,196.4675258,89.107034
2027,WS021,01-13 06:00:00+01:00,1466.59846,1686.588229,1.00E-06,1.00E-06,197.3089285,89.107034
2027,WS021,01-13 07:00:00+01:00,1477.989517,1699.687945,0.000001,0.000001,197.7296298,89.695847
2027,WS021,01-13 08:00:00+01:00,1511.289113,1737.982479,4.315629544,7.192715906,197.7296298,90.873473
2027,WS021,01-13 09:00:00+01:00,1524.394109,1753.053225,80.05470941,133.4245157,197.3089285,90.28466
2027,WS021,01-13 10:00:00+01:00,1563.611824,1798.153597,167.6277011,279.3795018,196.4675258,86.555511
2027,WS021,01-13 11:00:00+01:00,1607.028389,1848.082647,226.7179815,377.8633024,194.3640191,89.107034
2027,WS021,01-13 12:00:00+01:00,1641.508908,1887.735245,244.899048,408.16508,191.839811,90.873473
2027,WS021,01-13 13:00:00+01:00,1652.882433,1900.814798,231.3578811,385.5964684,190.577707,90.480931
2027,WS021,01-13 14:00:00+01:00,1642.33401,1888.684112,189.4141938,315.6903231,189.7363043,90.088389
2027,WS021,01-13 15:00:00+01:00,1627.546307,1871.678253,141.0709617,235.1182695,190.1570057,90.28466
2027,WS021,01-13 16:00:00+01:00,1666.694058,1916.698166,83.71232949,139.5205492,190.9984084,91.266015
2027,WS021,01-13 17:00:00+01:00,1653.034907,1900.990143,27.0282744,45.047124,193.5226164,92.443641
2027,WS021,01-13 18:00:00+01:00,1654.831579,1903.056316,1.050879229,1.751465382,193.9433177,93.424996
2027,WS021,01-13 19:00:00+01:00,1650.908778,1898.545094,1.00E-06,1.00E-06,194.3640191,94.21008
